,name,categories,lat,lng
0,The Cajun Crawfish,Cajun / Creole Restaurant,47.539289971206344,-122.28267717852208
1,Hoang Lan,Vietnamese Restaurant,47.538348836229716,-122.28202097084484
2,The UPS Store,Shipping Store,47.536820795367134,-122.28451877832413
3,Tammy's Bakery,Bakery,47.537504697937976,-122.28284107657363
4,Taco Street,Taco Place,47.5381,-122.28128999999998
5,Huong Duong Sunflower,Vietnamese Restaurant,47.53781871254015,-122.2813544666586
6,Foo Lam,Chinese Restaurant,47.53848168684539,-122.28294798188341
7,Ambrosia Tea & Espresso,Café,47.53900184447389,-122.28244478248476
8,Chase Bank,Bank,47.538683,-122.281383
9,"John C. Little, Sr. Park",Playground,47.53929138183594,-122.28653717041016
10,Van Asselt Playground,Playground,47.5397145758331,-122.29420350033924
11,Safeway,Grocery Store,47.53743460000001,-122.2830543
12,Ba Mien Seafood Market,Fish Market,47.53911603256009,-122.28302567745213
13,Venus Seafood Chinese Restaurant,Chinese Restaurant,47.53842190224066,-122.2830980910532
14,Thai Savon,Asian Restaurant,47.541942999999996,-122.283927
15,Amazing Thai Lao Cuisine,Thai Restaurant,47.541653,-122.28363600000002
16,che dessert lounge,Asian Restaurant,47.53853970239218,-122.28247172439795
17,Pho My Chau,Vietnamese Restaurant,47.53863860504554,-122.28236147984032
18,Van Asselt Soccer Field,Soccer Field,47.53808486120779,-122.29754580239828
19,El Asadero,Mexican Restaurant,47.53724733537418,-122.28018074129658
20,Rainier Health and Fitness,Gym,47.53645369627841,-122.27382618726848
21,Othello Playground,Park,47.53641792824911,-122.27381605285423
22,Starbucks,Coffee Shop,47.536498597176504,-122.27377714395772
23,Jacksons Catfish Corner,Seafood Restaurant,47.537875574052045,-122.27035712120993
24,Domino's Pizza,Pizza Place,47.53671999392601,-122.28050038229406
25,Bang Bang Kitchen,Tex-Mex Restaurant,47.536922,-122.279686
26,Huarachitos Cocina Mexicana,Mexican Restaurant,47.53645457897819,-122.273828732183
27,Shell,Gas Station,47.53640478223896,-122.27377495438057
28,Pho Dong,Vietnamese Restaurant,47.5377197265625,-122.28099822998048
29,Husser Window Cleaning,Home Service,47.53977413175557,-122.27225303649901
30,Signature Cafe,Breakfast Spot,47.53651544266997,-122.27388702858286
31,Los Potrillos - Taco Truck,Food Truck,47.54103076457959,-122.27156394282879
32,Zest Fast Food,Fast Food Restaurant,47.538777,-122.27100800000001
33,Thai Palms,Thai Restaurant,47.541942999999996,-122.283927
34,Martha Washington Park,Park,47.54345448131699,-122.26111558729792
35,Othello Meets Seward,Intersection,47.53832198211748,-122.26616595712945
36,Starbucks,Coffee Shop,47.541036,-122.225855
37,Toshi's Teriyaki,Asian Restaurant,47.54166726475045,-122.2248580659744
