,KC index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,lng,sqft_living15,sqft_lot15,dists_parks (m),dists_coffee (m),dists_restr (m),dists_trail (m),dists_gyms (m),dists_bus (m),dists_groc (m),dists_play (m),dists_pubs (m)
66,66,3394100030,20140909T000000,975000.0,4.0,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,"[832, 991, 1293, 1502, 1548, 1841]","[1653, 1782, 1856, 1875, 1884, 2651]","[1503, 1507, 1675, 1678, 1697, 1705]","[349, 479, 1316, 1882, 2445, 2626]","[1355, 2022, 2028, 2307, 2366, 2510]","[2050, 2748, 3563, 4003, 5989, 6350]","[1488, 1858, 1881, 3074, 3213, 3292]","[834, 1707, 4005, 4519, 5057, 5119]","[1801, 2828, 2857, 3291, 3334, 3448]"
69,69,1802000060,20140612T000000,1325000.0,5.0,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,"[522, 1574, 1575, 1575, 1857, 1886]","[827, 830, 1173, 1623, 1666, 1692]","[574, 591, 1157, 1173, 1480, 1486]","[1093, 1727, 1886, 4180, 4424, 4953]","[1674, 1813, 1822, 1923, 2010, 2051]","[1121, 1141, 2037, 3180, 4505, 4717]","[985, 1177, 1484, 1497, 2578, 2632]","[1689, 2777, 4738, 4860, 5371, 5755]","[1709, 1762, 1820, 1883, 1941, 1975]"
103,103,2450000295,20141007T000000,1088000.0,3.0,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,"[912, 1265, 1389, 1480, 1805, 1990]","[1914, 1938, 2071, 2168, 2178, 2420]","[1789, 1793, 1942, 1952, 1960, 1969]","[153, 687, 1033, 2028, 2664, 2802]","[1096, 1722, 2151, 2591, 2607, 2665]","[1750, 3020, 3827, 4286, 6167, 6289]","[1775, 2153, 2159, 2778, 2914, 3291]","[777, 1965, 3832, 4698, 5157, 5293]","[2089, 2908, 3127, 3233, 3243, 3274]"
125,125,4389200955,20150302T000000,1450000.0,4.0,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,"[443, 629, 833, 1150, 1198, 1408]","[554, 576, 651, 679, 724, 768]","[565, 573, 584, 640, 641, 655]","[1738, 2939, 3170, 3400, 3642, 3646]","[799, 968, 1058, 1130, 1364, 1500]","[2930, 2955, 3505, 3731, 4862, 4916]","[651, 723, 1257, 1578, 2015, 2090]","[1706, 3085, 4349, 5387, 5465, 5859]","[708, 818, 829, 843, 858, 871]"
269,269,7960900060,20150504T000000,2900000.0,4.0,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,2008,98004,47.6312,-122.223,3890,20060,"[1047, 1290, 1361, 1477, 1971, 2081]","[491, 523, 1702, 2067, 2093, 2125]","[1070, 1077, 1704, 1716, 1894, 1955]","[1124, 1372, 1699, 4656, 4926, 5314]","[2171, 2195, 2371, 2516, 2528, 2564]","[1041, 1103, 2418, 3284, 4634, 4923]","[1573, 1583, 1714, 1940, 3027, 3205]","[1365, 3053, 4132, 5156, 5415, 5500]","[2185, 2233, 2275, 2339, 2398, 2426]"
393,393,1653500070,20140512T000000,927000.0,4.0,2.75,3300,12090,2.0,0,0,3,8,3300,0,1953,0,98004,47.6294,-122.218,3180,12239,"[765, 1343, 1741, 1742, 1785, 1818]","[777, 791, 1418, 1669, 1701, 1731]","[649, 658, 1403, 1419, 1546, 1566]","[1294, 1544, 1778, 4424, 4514, 5039]","[1776, 1947, 2034, 2113, 2120, 2140]","[1189, 1226, 2264, 3337, 4673, 4908]","[1168, 1352, 1423, 1542, 2631, 2781]","[1453, 2981, 4529, 4835, 5514, 5771]","[1777, 1827, 1874, 1938, 1997, 2028]"
427,427,9808650060,20150225T000000,1300000.0,3.0,2.0,2350,15021,1.0,0,0,4,8,1770,580,1976,0,98004,47.6408,-122.219,3530,15715,"[878, 1136, 1524, 2290, 2339, 2389]","[600, 639, 1496, 1883, 1986, 2660]","[1412, 1513, 1548, 1555, 1695, 1763]","[1220, 1545, 1980, 3995, 4520, 4584]","[1443, 2723, 2782, 2879, 3046, 3146]","[83, 116, 1697, 2196, 3547, 3878]","[1526, 1962, 2615, 2678, 2712, 3240]","[2114, 2449, 4307, 4448, 4641, 5550]","[1998, 2002, 2864, 2918, 2985, 3047]"
525,525,4348800030,20141121T000000,727500.0,2.0,2.0,1240,9119,1.0,0,0,4,7,1240,0,1952,0,98004,47.6221,-122.193,1380,9121,"[304, 315, 318, 1307, 1566, 1714]","[380, 489, 514, 665, 703, 752]","[142, 355, 356, 453, 467, 471]","[867, 2679, 3217, 3583, 3641, 3761]","[303, 324, 456, 465, 547, 893]","[2444, 2743, 2771, 3787, 4083, 4091]","[752, 909, 981, 1054, 1122, 1250]","[2965, 3296, 3755, 4682, 5272, 5318]","[796, 815, 886, 894, 900, 907]"
659,659,708000030,20140902T000000,888000.0,3.0,1.5,1250,8710,1.0,0,0,4,7,1250,0,1953,0,98004,47.6245,-122.198,1750,9185,"[148, 149, 562, 1262, 1364, 1811]","[565, 729, 874, 875, 875, 889]","[414, 435, 451, 473, 522, 525]","[427, 3109, 3138, 3302, 3640, 3647]","[519, 554, 603, 657, 867, 1034]","[2162, 2297, 2321, 3763, 4120, 4542]","[450, 840, 1154, 1211, 1506, 1512]","[2620, 3027, 4014, 5085, 5675, 5713]","[784, 829, 922, 957, 991, 1035]"
699,699,6664000030,20141009T000000,980000.0,4.0,2.25,2240,11034,2.0,0,0,3,8,2240,0,1976,0,98004,47.5894,-122.195,2300,11550,"[279, 671, 927, 1152, 1433, 1477]","[1088, 1818, 2343, 2359, 2375, 2395]","[1091, 1806, 1850, 2100, 2147, 2148]","[653, 1045, 1655, 2093, 2094, 2772]","[1355, 1728, 1811, 1866, 2055, 2316]","[2055, 3382, 3407, 3980, 5801, 5904]","[2103, 2371, 2403, 2521, 2780, 2868]","[156, 2435, 4476, 4648, 5367, 5631]","[2023, 2378, 2385, 2428, 2750, 2781]"
